name,description,reason,company,rating
A CN Gel(Topical) 20gmA CN Soap 75gm,Mild to moderate acne (spots),Acne,Sun Pharmaceutical Industries Ltd.,4.8
A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Dr. Reddys Laboratories Ltd.,4.7
ACGEL CL NANO Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Divis Laboratories Ltd.,4.5
ACGEL NANO Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Cipla Ltd.,4.3
Acleen 1% Lotion 25ml,treat the most severe form of acne (nodular acne) ,Acne,Biocon Ltd.,4.1
Aclene 0.10% Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Aurobindo Pharma Ltd.,3.9
Acnay Gel 10gm,treat the most severe form of acne (nodular acne) ,Acne,Torrent Pharmaceuticals Ltd.,3.5
Acne Aid Bar 50gmAcne Aid Bar 100gm, treat acne vulgaris ,Acne,Lupin Ltd.,3.4
Acne UV Gel 60gm, treat acne vulgaris ,Acne,Cadila Healthcare Ltd.,3.3
Acne UV SPF 30 Gel 30gm, treat mild to moderate acne(spots),Acne,Abbott India Ltd.,3.25
Acnecure Gel 20gm,treatment of dry scaly skin disorders of the scalp,Acne,Alkem Laboratories Ltd.,3.2
Acnedap Gel 15gm,Mild to moderate acne (spots),Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Acnedap Plus Gel 15gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Ipca Laboratories Ltd.,3.0
Acnehit Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Alembic Pharmaceuticals Ltd.,2.9
Acnelak Soap 75gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Glenmark Pharmaceuticals Ltd.,2.7
Acnelak Clz Cream 15gm,treat the most severe form of acne (nodular acne) ,Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
Acnelak Z Lotion 15gm,treat the most severe form of acne (nodular acne) ,Acne,Sun Pharmaceutical Industries Ltd.,4.8
Acnemoist Cream 60gm,treat the most severe form of acne (nodular acne) ,Acne,Dr. Reddys Laboratories Ltd.,4.7
Acnerex Soap 75gm, treat acne vulgaris ,Acne,Divis Laboratories Ltd.,4.5
Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm, treat acne vulgaris ,Acne,Cipla Ltd.,4.3
Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml, treat mild to moderate acne(spots),Acne,Biocon Ltd.,4.1
Acnesol A Nano Gel 15gm,treatment of dry scaly skin disorders of the scalp,Acne,Aurobindo Pharma Ltd.,3.9
Acnesol CL Gel 15gm,combined with anti-acne actives of both natural and synthetic origin,Acne,Torrent Pharmaceuticals Ltd.,3.5
Acnestal Soap 75gm," gives smooth, soft, supple and fresh feeling to the skin",Acne,Lupin Ltd.,3.4
Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Acne,Cadila Healthcare Ltd.,3.3
Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,Mild to moderate acne (spots),Acne,Abbott India Ltd.,3.25
Acnetoin Plus Oinment 15gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Alkem Laboratories Ltd.,3.2
Acnetor AD 1% Ointment 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Acnetor AD Cream 15Acnetor AD Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Ipca Laboratories Ltd.,3.0
Acnewar Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Alembic Pharmaceuticals Ltd.,2.9
Acnewar Plus Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Glenmark Pharmaceuticals Ltd.,2.7
Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,treat the most severe form of acne (nodular acne) ,Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
Acnezyl Gel(Topical) 10gm, treat acne vulgaris ,Acne,Sun Pharmaceutical Industries Ltd.,4.8
Acnicin Gel 15gmAcnicin 1/1% Solution 25ml, treat acne vulgaris ,Acne,Dr. Reddys Laboratories Ltd.,4.7
Acnil Soap 75gm, treat mild to moderate acne(spots),Acne,Divis Laboratories Ltd.,4.5
Acnin Cream 50gm,treatment of dry scaly skin disorders of the scalp,Acne,Cipla Ltd.,4.3
Acnin Pimple Care Face Pack 50gm,Mild to moderate acne (spots),Acne,Biocon Ltd.,4.1
Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Aurobindo Pharma Ltd.,3.9
Acnoff Anti Acne Bar 100gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Torrent Pharmaceuticals Ltd.,3.5
Acnorm Lotion 180ml,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Lupin Ltd.,3.4
Acnovate Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Cadila Healthcare Ltd.,3.3
Acnovate Trio Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Abbott India Ltd.,3.25
Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,treat the most severe form of acne (nodular acne) ,Acne,Alkem Laboratories Ltd.,3.2
Aczit 10mg Softgel 10'S, treat acne vulgaris ,Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Adabor Gel 15gm, treat acne vulgaris ,Acne,Ipca Laboratories Ltd.,3.0
Adacin Gel 15gm, treat mild to moderate acne(spots),Acne,Alembic Pharmaceuticals Ltd.,2.9
Adaclene Gel 15gm,treatment of dry scaly skin disorders of the scalp,Acne,Glenmark Pharmaceuticals Ltd.,2.7
Adaferin Gel 15gm,combined with anti-acne actives of both natural and synthetic origin,Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
Adalene Nano Gel 15mg," gives smooth, soft, supple and fresh feeling to the skin",Acne,Sun Pharmaceutical Industries Ltd.,4.8
Adapen Gel 15gm,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Acne,Dr. Reddys Laboratories Ltd.,4.7
Adaple Gel 15gmAdaple C Gel 15gm,treatment of dry scaly skin disorders of the scalp,Acne,Divis Laboratories Ltd.,4.5
Adapnil Gel 15gm,Mild to moderate acne (spots),Acne,Cipla Ltd.,4.3
Adiff Aqueous Gel 15gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Biocon Ltd.,4.1
Adistar Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Aurobindo Pharma Ltd.,3.9
Adistarc Gel 10gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Torrent Pharmaceuticals Ltd.,3.5
Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,treat the most severe form of acne (nodular acne) ,Acne,Lupin Ltd.,3.4
Adlene Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Cadila Healthcare Ltd.,3.3
Admark Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Abbott India Ltd.,3.25
Ahaglow Acne Control Moisturizing Gel 50gm, treat acne vulgaris ,Acne,Alkem Laboratories Ltd.,3.2
Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm, treat acne vulgaris ,Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm, treat mild to moderate acne(spots),Acne,Ipca Laboratories Ltd.,3.0
Aknaybar Bathing Bar 100gm,treatment of dry scaly skin disorders of the scalp,Acne,Alembic Pharmaceuticals Ltd.,2.9
Akneroxid 10% Gel 20gm,combined with anti-acne actives of both natural and synthetic origin,Acne,Glenmark Pharmaceuticals Ltd.,2.7
ALAN Gel 15gm,treatment of dry scaly skin disorders of the scalp,Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
Alene Gel 15gm,Mild to moderate acne (spots),Acne,Sun Pharmaceutical Industries Ltd.,4.8
Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Dr. Reddys Laboratories Ltd.,4.7
Alight Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Divis Laboratories Ltd.,4.5
Alight Plus Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Cipla Ltd.,4.3
Alite Cream 15gmAlite Soap 75gm,treat the most severe form of acne (nodular acne) ,Acne,Biocon Ltd.,4.1
Alite Plus Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Aurobindo Pharma Ltd.,3.9
Allyte 1% Gel 20gm,treat the most severe form of acne (nodular acne) ,Acne,Torrent Pharmaceuticals Ltd.,3.5
Alonurish Anti Acne Foaming Face Wash 60ml, treat acne vulgaris ,Acne,Sun Pharmaceutical Industries Ltd.,4.8
Amypure Tablet 90'SAmypure Tablet 100'S, treat acne vulgaris ,Acne,Dr. Reddys Laboratories Ltd.,4.7
AP Gel 10gm, treat mild to moderate acne(spots),Acne,Divis Laboratories Ltd.,4.5
Apalene C Gel 15gm,treatment of dry scaly skin disorders of the scalp,Acne,Cipla Ltd.,4.3
Athoderm 1% Gel 15gm,combined with anti-acne actives of both natural and synthetic origin,Acne,Biocon Ltd.,4.1
Atranza 10mg Capsule 100'S,treatment of dry scaly skin disorders of the scalp,Acne,Aurobindo Pharma Ltd.,3.9
Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Mild to moderate acne (spots),Acne,Torrent Pharmaceuticals Ltd.,3.5
Azac Cream 15gmAzac Soap 75gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Lupin Ltd.,3.4
Azecne 20% Cream 15gmAzecne 10% Cream 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Cadila Healthcare Ltd.,3.3
Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Abbott India Ltd.,3.25
Azobril 15% Cream 20gm,treat the most severe form of acne (nodular acne) ,Acne,Alkem Laboratories Ltd.,3.2
Baclytic Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Bdiff A Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Ipca Laboratories Ltd.,3.0
